104,40,31867
168,281,83948
153,246,69558
120,28,42511
244,133,177280
53,226,8338
294,109,257656
68,119,13586
205,229,125077
300,14,268217
31,112,2812
258,267,198414
246,41,180116
230,52,157375
225,147,150675
196,266,114341
47,193,6541
74,166,16153
223,186,148038
3,166,178
60,122,10565
84,46,20713
12,286,649
280,114,233637
285,112,242080
215,21,137409
276,6,226881
97,285,27933
96,111,27186
133,100,52372
215,280,137668
244,13,177160
102,138,30741
276,265,227140
294,24,257571
269,94,215566
64,106,12013
144,65,61412
256,286,195361
6,21,96
121,213,43413
198,8,116435
80,138,18861
196,185,114260
192,96,109539
5,161,209
197,125,115373
251,290,187790
206,155,126230
240,46,171409
8,27,174
38,54,4161
261,200,203000
214,223,136330
108,135,34482
243,70,175762
36,225,3900
166,200,81875
273,119,222071
95,83,26591
240,134,171497
100,216,29619
183,166,99538
186,39,102714
105,109,32557
122,259,44182
155,220,71368
46,7,6082
217,52,140020
178,1,93988
53,201,8313
247,227,181775
54,212,8639
29,117,2469
172,212,87935
181,230,97430
176,49,91924
167,212,82880
214,275,136382
260,29,201272
135,285,54153
138,175,56482
231,37,158737
20,216,1299
196,3,114078
27,52,2080
211,53,132353
277,137,228665
284,94,240361
210,272,131315
279,291,232143
209,105,129897
81,277,19477
86,294,21969
187,283,104071
237,207,167295
155,20,71168
8,246,393
148,259,65086
199,213,117825
105,32,32480
295,224,259532
232,76,160159
85,265,21433
288,11,247118
93,290,25682
0,217,220
174,167,89954
174,199,89986
36,115,3790
254,59,192086
251,107,187607
96,216,27291
160,59,75902
241,226,173026
69,167,14039
237,150,167238
246,175,180250
187,43,103831
239,213,170145
234,202,163069
240,108,171471
190,59,107222
282,42,236925
112,112,37075
170,38,85721
59,162,10254
53,184,8296
192,125,109568
47,50,6398
54,282,8709
169,232,84904
156,186,72261
55,101,8849
145,271,62479
133,71,52343
209,251,130043
148,272,65099
298,16,264643
29,84,2436
193,253,110845
89,46,23278
144,121,61468
90,127,23890
168,186,83853
244,65,177212
46,257,6332
291,24,252324
266,218,210893
51,146,7646
186,45,102720
88,217,22924
267,156,212424
132,164,51647
57,39,9447
118,157,41224
21,183,1383
282,264,237147
144,108,61455
247,64,181612
8,118,265
195,16,112924
33,171,3243
266,244,210919
190,131,107294
256,83,195158
100,215,29618
115,241,39229
71,180,14880
165,293,80981
21,115,1315
82,129,19812
292,184,254227
88,128,22835
221,27,145227
253,58,190570
195,74,112982
289,135,248967
145,245,62453
299,38,266450
99,52,28864
185,187,101755
234,92,162959
261,154,202954
240,240,171603
167,183,82851
272,140,220463
92,178,25021
211,7,132307
144,94,61441
134,103,53170
80,278,19001
284,53,240320
169,195,84867
228,280,154867
214,57,136164
278,112,230299
1,233,233
159,164,75056
112,64,37027
120,227,42710
128,143,48530
284,278,240545
141,268,59068
227,67,153295
2,66,69
109,168,35160
251,196,187696
181,97,97297
29,48,2400
139,55,57187
241,257,173057
297,87,262935
61,9,10809
275,212,225440
150,88,66691
215,220,137608
188,124,105031
296,4,261079
